title,description,category,difficulty,estimatedTime,severity,tools,materials,tags,steps,safetyTips,published
Troubleshoot Internet Router,Fix home internet router connectivity problems,Technology,beginner,20 minutes,medium,ethernet cable,none,router internet connection wifi network troubleshoot,Restart router properly | Unplug 30 seconds then reconnect power;Check cable connections | Ensure all cables securely connected;Reset to factory settings | Use reset button if other methods fail,Wait for full restart before testing,true
Fix Flat Tire,Change flat tire safely on vehicle,Automotive,beginner,25 minutes,high,car jack lug wrench,spare tire wheel chocks,tire flat change spare safety roadside,Secure vehicle safety | Park on flat surface engage parking brake;Loosen lug nuts | Turn counterclockwise before raising car;Change tire | Remove flat install spare tighten nuts,Never change tire on highway,true
Repair Leaky Pipe Joint,Fix water leak at pipe connection,Plumbing,intermediate,30 minutes,medium,pipe wrench Teflon tape,pipe joint compound replacement fittings,pipe leak joint plumbing water repair,Turn off water supply | Shut off water at main or local valve;Drain remaining water | Open faucets to empty pipes;Retighten or replace joint | Apply pipe compound or new fitting,Turn off water before starting,true
Fix Oven Not Heating Properly,Troubleshoot oven temperature problems,Appliances,intermediate,35 minutes,medium,oven thermometer screwdriver,replacement thermostat heating element,oven heating temperature cooking thermostat appliance,Test actual temperature | Use oven thermometer to verify accuracy;Check heating elements | Inspect for visible damage or breaks;Calibrate thermostat | Adjust temperature control if possible,Use proper oven thermometer,true
Replace Door Lock,Install new door lock for security,Home Maintenance,intermediate,45 minutes,medium,screwdriver drill,new lock set screws,door lock security install replace safety,Remove old lock | Unscrew and remove existing lock hardware;Prepare door for new lock | Enlarge holes if necessary for new lock;Install new lock | Follow manufacturer's instructions carefully,Measure twice cut once,true
Fix Coffee Maker Brewing Slowly,Clean and descale coffee maker,Appliances,beginner,45 minutes,low,soft brush,white vinegar coffee filters,coffee maker slow brewing descale clean,Clean removable parts | Wash carafe filter basket in soapy water;Descale with vinegar | Run 50/50 vinegar water solution through cycle;Rinse thoroughly | Run 2-3 cycles of plain water,Use only white vinegar,true
Troubleshoot Printer Won't Print,Resolve common printer connection issues,Technology,beginner,20 minutes,medium,none,printer paper,printer printing connection drivers paper jam,Check printer basics | Verify power paper ink levels;Test connection | Check USB or wireless connection;Update printer drivers | Download latest drivers from manufacturer,Keep printer drivers updated,true
Fix Sticky Sliding Door,Repair patio or closet door that's hard to slide,Home Maintenance,intermediate,40 minutes,medium,screwdriver vacuum,silicone spray cleaning brush,sliding door track sticky rollers maintenance,Clean door tracks | Vacuum debris from top and bottom tracks;Check door alignment | Ensure door hangs level in track;Lubricate rollers | Apply silicone spray to rollers and track,Don't use oil attracts dirt,true
Replace Furnace Filter,Change HVAC system air filter,HVAC,beginner,10 minutes,low,none,new air filter,furnace filter hvac air quality maintenance,Locate filter compartment | Usually near furnace air handler;Remove old filter | Note size and airflow direction;Install new filter | Arrows should point toward unit,Replace every 1-3 months,true
Fix Water Heater No Hot Water,Troubleshoot electric water heater problems,Plumbing,intermediate,60 minutes,high,multimeter screwdriver,heating elements thermostats,water heater hot water electric heating,Check power supply | Verify electrical power to water heater;Test heating elements | Use multimeter to check continuity;Check thermostat settings | Ensure proper temperature setting,Turn off power before servicing,true
Repair Screen Door,Fix torn or damaged screen door mesh,Home Maintenance,intermediate,30 minutes,low,screwdriver utility knife,screen material spline spline tool,screen door repair mesh torn replace,Remove screen frame | Take out damaged screen from frame;Cut new screen material | Cut slightly larger than frame opening;Install new screen | Use spline tool to secure screen in groove,Cut screen larger than needed,true
Fix Car AC Not Working,Troubleshoot automotive air conditioning,Automotive,intermediate,45 minutes,medium,AC gauges safety glasses,refrigerant leak detector,car air conditioning ac cooling refrigerant,Check AC basics | Verify compressor clutch engages when AC turned on;Test refrigerant levels | Use gauges to check high and low pressure;Add refrigerant carefully | Follow gauge instructions don't overcharge,Wear safety glasses refrigerant dangerous,true
Replace Kitchen Faucet Aerator,Fix low water pressure in kitchen sink,Plumbing,beginner,15 minutes,low,pliers old toothbrush,new aerator white vinegar,faucet aerator water pressure flow kitchen,Remove old aerator | Unscrew from end of faucet spout;Clean aerator parts | Soak in vinegar scrub with toothbrush;Install new aerator | Hand tighten then snug with pliers,Don't overtighten can damage threads,true
Fix Garage Door Won't Open,Troubleshoot automatic garage door problems,Home Maintenance,intermediate,30 minutes,medium,step ladder,garage door lubricant batteries,garage door opener remote springs motor,Check remote batteries | Replace batteries in garage door remote;Inspect door tracks | Look for obstructions or damage;Test safety sensors | Clean and align photo eye sensors,Keep hands away from springs,true
Troubleshoot Dryer Not Getting Hot,Fix electric dryer heating problems,Appliances,intermediate,45 minutes,medium,multimeter vacuum,thermal fuse heating element,dryer heating hot air thermal fuse,Clean lint thoroughly | Check filter vent and internal ducts;Test thermal fuse | Use multimeter to check for continuity;Inspect heating element | Look for broken coils or connections,Disconnect power before servicing,true
Fix Leaky Bathtub Faucet,Repair dripping bathtub spout,Plumbing,intermediate,50 minutes,medium,pipe wrench screwdriver,valve cartridge plumbers grease,bathtub faucet leak spout valve cartridge,Turn off water supply | Shut off water at main or bathroom valves;Remove faucet handle | Unscrew handle and trim plate;Replace valve cartridge | Install new cartridge with plumbers grease,Take pictures during disassembly,true
Replace Electrical Outlet,Install new wall electrical outlet,Electrical,intermediate,25 minutes,high,voltage tester screwdriver,new outlet wire nuts,electrical outlet replace wiring safety power,Turn off power at breaker | Switch off circuit breaker for that outlet;Test with voltage tester | Verify no power present before proceeding;Install new outlet | Connect wires to matching terminals,Always test for power first,true
Fix Dishwasher Won't Start,Troubleshoot dishwasher that won't turn on,Appliances,beginner,20 minutes,medium,multimeter,none,dishwasher start power door latch control,Check power supply | Verify dishwasher is getting electrical power;Test door latch | Ensure door closes completely and latches;Reset control panel | Try resetting dishwasher control system,Check circuit breaker if no power,true
Repair Hole in Drywall,Fix small to medium holes in wall,Home Maintenance,intermediate,60 minutes,low,utility knife putty knife,drywall patch joint compound sandpaper,drywall hole wall repair patch paint,Clean hole edges | Remove loose drywall around damaged area;Apply patch kit | Install self-adhesive patch over hole;Apply joint compound | Cover patch with thin layers of compound,Sand between coats for smooth finish,true
Fix Car Battery Corrosion,Clean battery terminals and prevent corrosion,Automotive,beginner,20 minutes,medium,wire brush wrench,baking soda petroleum jelly safety glasses,car battery corrosion terminals cleaning maintenance,Disconnect battery cables | Remove negative first then positive terminal;Clean with baking soda | Mix with water to neutralize acid;Apply petroleum jelly | Coat terminals to prevent future corrosion,Wear safety glasses and gloves,true
Troubleshoot Thermostat Problems,Fix heating and cooling control issues,HVAC,intermediate,30 minutes,medium,small screwdriver level,new batteries thermostat,thermostat heating cooling temperature control hvac,Replace thermostat batteries | Install fresh batteries in unit;Check thermostat level | Ensure unit is mounted level on wall;Verify wire connections | Check that all wires are securely connected,Turn off power before opening thermostat,true
Fix Clogged Toilet,Clear toilet blockage without plumber,Plumbing,beginner,20 minutes,medium,toilet plunger rubber gloves,none,toilet clog blockage plunge overflow backup,Use proper plunger | Flange plunger works best for toilets;Create good seal | Ensure plunger covers drain opening completely;Plunge with force | Use quick thrusting motions to clear blockage,Don't use chemical drain cleaners,true
Replace Window Screen,Install new screen in window frame,Home Maintenance,beginner,25 minutes,low,screwdriver utility knife,screen material screen spline,window screen replace mesh frame repair,Remove old screen | Take screen frame out of window;Cut new screen material | Cut 2 inches larger than frame opening;Install new screen | Use spline to secure screen in channel,Work on flat surface,true
Fix Garbage Disposal Reset,Restore power to tripped garbage disposal,Plumbing,beginner,5 minutes,low,flashlight,none,garbage disposal reset power trip button,Locate reset button | Usually red button on bottom of unit;Press reset button | Push firmly until button clicks;Test disposal operation | Turn on water and test disposal,Never put hands in disposal,true
Troubleshoot Slow Drain,Clear minor drain blockages naturally,Plumbing,beginner,30 minutes,low,plunger funnel,baking soda vinegar hot water,drain slow clog blockage natural cleaning,Remove visible debris | Clear any visible blockage from drain opening;Use baking soda method | Pour 1 cup baking soda down drain;Follow with vinegar | Add 1 cup vinegar and cover drain,Use hot not boiling water,true
Fix Squeaky Floor,Eliminate creaky floorboard noises,Home Maintenance,intermediate,45 minutes,low,drill screwdriver,wood screws lubricant shims,floor squeak creak floorboard subfloor noise,Locate squeak source | Walk around to pinpoint exact location;Secure loose boards | Drive screws into subfloor to eliminate movement;Add shims if needed | Insert thin shims between floor and subfloor,Pre-drill holes to prevent splitting,true
