title,description,category,difficulty,estimatedTime,severity,tools,materials,tags,steps,safetyTips,published
Replace Car Air Filter,Change dirty engine air filter,Automotive,beginner,15 minutes,low,none,new air filter,car air filter engine maintenance,"Locate air filter housing | Open hood and find rectangular box near engine;Open housing | Unclip or unscrew housing cover;Remove old filter | Lift out dirty air filter;Insert new filter | Place new filter matching airflow direction;Close housing | Secure cover with clips or screws",Check filter every 12000 miles,true
Fix Dryer Not Heating,Troubleshoot electric or gas dryer heating issues,Appliances,intermediate,30 minutes,medium,screwdriver vacuum,none,dryer heat heating clothes drying,"Check lint filter | Clean filter thoroughly;Clean dryer vent | Remove external vent cover and clean;Check power supply | Ensure 240V power for electric dryer;Inspect heating element | Check element for breaks or damage;Test thermostat | Check thermal fuse and thermostats",Disconnect power and gas before servicing,true
Silence Smoke Detector False Alarms,Stop smoke detector from false triggering,Home Maintenance,beginner,15 minutes,medium,vacuum cleaner,none,smoke detector false alarm beeping,"Check for dust | Vacuum detector vents gently;Move detector location | Relocate away from kitchen or bathroom;Check battery level | Replace battery even if not low;Test detector | Use test button to verify function;Clean detector | Wipe exterior with damp cloth",Replace detectors every 10 years,true
Fix Loose Toilet Handle,Repair toilet handle that requires multiple presses,Plumbing,beginner,15 minutes,low,adjustable wrench,none,toilet handle loose flush chain,"Remove toilet tank lid | Carefully lift and set aside;Check chain connection | Ensure chain connects handle to flapper;Adjust chain length | Shorten or lengthen for proper tension;Tighten handle nut | Use wrench to tighten mounting nut;Test flush | Replace lid and test handle operation",Hand tighten first then use wrench carefully,true
Troubleshoot Remote Control Not Working,Fix non-responsive TV or device remote,Technology,beginner,10 minutes,low,none,batteries,remote control battery TV device,"Check battery orientation | Ensure batteries are inserted correctly;Replace batteries | Install fresh batteries;Clean battery contacts | Remove corrosion with cloth;Check for obstructions | Clear path between remote and device;Reset remote | Remove batteries for 30 seconds then reinstall",Point remote directly at device sensor,true
Fix Garbage Disposal Humming But Not Working,Resolve disposal motor humming without grinding,Appliances,intermediate,20 minutes,medium,allen wrench flashlight,none,garbage disposal hum motor jam,"Turn off power | Switch off breaker and wall switch;Check for jams | Look inside with flashlight for objects;Use allen wrench | Turn disposal manually from bottom;Press reset button | Push red reset button under unit;Test disposal | Turn on and check operation with water",Never put hands inside disposal,true
Replace Furnace Air Filter,Change dirty HVAC system air filter,Home Maintenance,beginner,10 minutes,low,none,new furnace filter,furnace filter HVAC heating air quality,"Locate filter compartment | Find filter slot in furnace or return vent;Note filter size | Check existing filter for dimensions;Remove old filter | Slide out dirty filter carefully;Insert new filter | Place new filter with airflow arrow correct;Record replacement date | Write date on filter frame",Replace filters every 1-3 months,true
Fix Microwave Not Heating,Troubleshoot microwave that runs but doesn't heat food,Appliances,intermediate,25 minutes,medium,screwdriver multimeter,none,microwave heating magnetron food cold,"Check door seal | Ensure door closes tightly and seals properly;Test with water | Heat cup of water to test magnetron;Check waveguide cover | Look for food splatter on cover;Inspect door switches | Test door latch and safety switches;Check magnetron | Professional repair if magnetron failed",Never operate microwave with door open,true
Unclog Bathroom Sink,Clear slow draining bathroom sink,Plumbing,beginner,25 minutes,medium,plunger,drain snake baking soda vinegar,bathroom sink clog drain hair,"Remove drain stopper | Lift or unscrew sink stopper;Clear visible debris | Remove hair and buildup by hand;Use plunger | Cover overflow hole and plunge vigorously;Try baking soda method | Pour baking soda then vinegar;Snake the drain | Use drain snake if other methods fail",Wear rubber gloves when handling debris,true
Fix Car Radio Not Working,Troubleshoot car stereo with no sound or power,Automotive,beginner,20 minutes,low,fuse puller multimeter,replacement fuses,car radio stereo sound audio,"Check volume and settings | Verify radio is not muted;Check antenna connection | Ensure antenna is properly connected;Inspect radio fuse | Check fuse box for blown radio fuse;Test with different source | Try different audio inputs;Check wiring connections | Inspect wiring behind radio unit",Disconnect battery before checking wiring,true
Reset WiFi Router to Factory Settings,Restore router to original configuration,Technology,beginner,10 minutes,low,paperclip,none,router reset wifi network factory default,"Locate reset button | Find small reset button on router;Press and hold reset | Use paperclip to press button for 30 seconds;Wait for restart | Allow router to reboot completely;Access setup page | Connect to router and configure settings;Update firmware | Download latest firmware if available",Note current settings before reset,true
Fix Sticky Door Lock,Resolve door lock that's hard to turn,Home Maintenance,beginner,15 minutes,low,none,graphite lubricant WD-40,door lock key sticky mechanism,"Clean keyhole | Remove debris from lock opening;Lubricate with graphite | Use pencil graphite or spray lubricant;Work the key | Insert and turn key several times;Check door alignment | Ensure door is properly aligned with frame;Test lock operation | Verify smooth key turning and locking",Avoid oil-based lubricants that attract dirt,true
Troubleshoot Printer Not Printing,Fix printer that won't print documents,Technology,intermediate,20 minutes,medium,none,printer paper ink cartridge,printer printing paper jam ink,"Check power and connections | Ensure printer is on and connected;Verify paper supply | Add paper and check for jams;Check ink levels | Replace empty or low ink cartridges;Update printer drivers | Download latest drivers from manufacturer;Run printer diagnostics | Use built-in diagnostic tools",Keep spare ink cartridges available,true
Fix Dishwasher Not Cleaning Dishes,Improve dishwasher cleaning performance,Appliances,beginner,30 minutes,medium,none,dishwasher cleaner vinegar,dishwasher cleaning dishes soap residue,"Check spray arms | Remove and clean clogged spray holes;Clean filter | Remove and wash dishwasher filter;Load dishes properly | Don't overcrowd and face soiled surfaces inward;Use correct detergent | Use proper amount of quality detergent;Run cleaning cycle | Use dishwasher cleaner or white vinegar",Scrape but don't pre-rinse dishes,true
Replace Worn Windshield Wipers,Install new windshield wiper blades,Automotive,beginner,15 minutes,low,none,new wiper blades,windshield wipers rain visibility safety,"Measure existing blades | Check length of current wiper blades;Purchase correct size | Buy appropriate size replacement blades;Lift wiper arm | Pull arm away from windshield;Remove old blade | Press tab and slide blade off arm;Install new blade | Slide new blade until it clicks;Lower wiper arm | Gently place arm back on windshield",Replace wipers every 6-12 months,true
Fix Laptop Overheating,Reduce laptop temperature and improve performance,Technology,intermediate,25 minutes,medium,compressed air screwdriver,thermal paste,laptop overheating fan cleaning cooling,"Check air vents | Inspect vents for dust and debris;Clean vents with air | Use compressed air to blow out dust;Check fan operation | Listen for fan noise and operation;Use cooling pad | Place laptop on cooling pad when working;Monitor temperature | Use software to check CPU temperature",Never use compressed air while laptop is on,true
Unclog Dryer Vent,Remove lint buildup from dryer exhaust vent,Home Maintenance,intermediate,45 minutes,high,screwdriver vent brush,none,dryer vent lint fire hazard cleaning,"Disconnect dryer | Unplug dryer and pull away from wall;Disconnect vent hose | Remove vent hose from back of dryer;Clean lint from hose | Remove all lint from flexible hose;Clean exterior vent | Remove vent cover and clean opening;Reassemble system | Reconnect hose and push dryer back",Clean dryer vent annually to prevent fires,true
Fix Ice Maker Not Working,Troubleshoot refrigerator ice maker problems,Appliances,intermediate,30 minutes,medium,none,none,ice maker refrigerator water filter,"Check power switch | Ensure ice maker is turned on;Check water supply | Verify water line is connected and flowing;Replace water filter | Install new filter if overdue;Clear ice jam | Remove any ice blocking the mechanism;Reset ice maker | Turn off for 24 hours then restart",Replace water filter every 6 months,true
Troubleshoot Garage Door Opener,Fix garage door that won't open or close,Home Maintenance,intermediate,30 minutes,medium,screwdriver ladder,garage door lubricant,garage door opener remote safety,"Check remote batteries | Replace remote control batteries;Inspect safety sensors | Clean and align photo-eye sensors;Check door tracks | Lubricate tracks and remove obstructions;Test manual operation | Disconnect opener and test door manually;Adjust limit switches | Set proper up and down limits",Never bypass safety features,true
Fix Water Heater Not Heating,Troubleshoot electric or gas water heater,Plumbing,intermediate,45 minutes,high,multimeter wrench,none,water heater hot water heating element,"Check power supply | Verify electrical power to unit;Test heating elements | Check elements with multimeter;Check thermostat | Test and adjust water temperature setting;Inspect gas supply | For gas units check pilot light and gas flow;Check relief valve | Ensure pressure relief valve is functioning",Turn off power and water before servicing,true
Reset Computer Password,Regain access to locked computer account,Technology,intermediate,20 minutes,medium,none,password reset disk,computer password reset login security,"Try password hints | Use any password hints available;Boot from reset disk | Use Windows password reset disk;Safe mode access | Boot in safe mode with administrator account;Use installation media | Boot from Windows installation disk;Reset via command prompt | Use command line password reset tools",Create password reset disk before you need it,true
Fix Clogged Gutters,Clean gutters and downspouts of debris,Home Maintenance,intermediate,60 minutes,medium,ladder gloves,garden hose gutter scoop,gutters cleaning downspout roof drainage,"Set up ladder safely | Position ladder on stable level ground;Remove large debris | Scoop out leaves and debris by hand;Flush with water | Use hose to flush remaining debris;Check downspouts | Ensure water flows freely through downspouts;Inspect for damage | Look for holes rust or loose joints",Never work alone when using ladder,true
Troubleshoot Air Conditioner Not Cooling,Fix AC unit that runs but doesn't cool,HVAC,intermediate,30 minutes,high,none,air filter,air conditioning cooling temperature thermostat,"Check thermostat settings | Ensure correct temperature and mode;Replace air filter | Install clean filter if dirty;Check circuit breakers | Reset any tripped AC breakers;Inspect outdoor unit | Clear debris from around condenser;Check refrigerant lines | Look for ice buildup on lines",Turn off AC for ice to melt before restart,true
Fix Slow Computer Performance,Improve sluggish computer speed,Technology,intermediate,45 minutes,medium,none,none,computer slow performance speed optimization,"Check disk space | Free up hard drive space;Scan for malware | Run antivirus and malware scans;Disable startup programs | Remove unnecessary startup items;Update software | Install operating system and driver updates;Defragment hard drive | Run disk defragmentation utility",Back up important files before making changes,true
Replace Toilet Flapper,Fix toilet that won't stop running,Plumbing,beginner,20 minutes,low,none,toilet flapper,toilet flapper running water valve,"Turn off water supply | Shut off valve behind toilet;Drain toilet tank | Flush and hold handle to empty tank;Remove old flapper | Disconnect chain and lift out flapper;Install new flapper | Position flapper over valve seat;Connect chain | Attach chain with slight slack;Turn water back on | Test flush and adjust chain as needed",Wear rubber gloves when working in tank,true
Fix Ceiling Fan Wobbling,Stop ceiling fan from shaking and wobbling,Electrical,intermediate,30 minutes,medium,screwdriver,balancing kit ceiling fan cleaner,ceiling fan wobble balance vibration,"Tighten all screws | Check and tighten mounting and blade screws;Clean fan blades | Remove dust and debris from blades;Check blade alignment | Measure distance from ceiling to each blade;Balance the fan | Use balancing kit to add weights;Inspect mounting | Ensure mounting bracket is secure",Turn off power before working on fan,true
Troubleshoot Dishwasher Not Draining,Fix dishwasher with standing water,Appliances,intermediate,30 minutes,medium,none,none,dishwasher drain water garbage disposal,"Check garbage disposal | Run disposal to clear any clogs;Inspect drain hose | Look for kinks or clogs in hose;Clean dishwasher filter | Remove and clean bottom filter;Check drain connection | Verify proper connection to disposal or drain;Run empty cycle | Use dishwasher cleaner for cleaning cycle",Disconnect power before accessing internal parts,true
Fix Leaking Pipe Under Sink,Repair water leak under kitchen or bathroom sink,Plumbing,intermediate,30 minutes,high,pipe wrench,pipe compound Teflon tape,pipe leak plumbing water damage,"Turn off water supply | Shut off valves under sink;Identify leak source | Locate exact point of water leak;Tighten connections | Use pipe wrench to tighten loose joints;Replace worn parts | Install new washers gaskets or fittings;Apply pipe compound | Use thread sealant on threaded connections;Turn water back on | Check for leaks and retighten if needed",Clean up water immediately to prevent damage,true
Reset Garage Door Opener Code,Change or reset garage door remote code,Technology,beginner,15 minutes,low,none,none,garage door remote code programming security,"Locate program button | Find learn or program button on opener motor;Press program button | Push button until LED light turns on;Press remote button | Within 30 seconds press desired remote button;Test operation | Use remote to test door opening and closing;Clear old codes | Hold program button to erase all codes if needed",Keep manual handy for specific model instructions,true
Fix Refrigerator Not Cooling,Troubleshoot refrigerator temperature problems,Appliances,intermediate,30 minutes,high,vacuum cleaner,none,refrigerator cooling temperature food spoilage,"Check temperature settings | Verify correct temperature dial settings;Clean condenser coils | Vacuum coils underneath or behind unit;Check door seals | Inspect gaskets for tears or poor sealing;Clear air vents | Remove items blocking internal air circulation;Check evaporator fan | Listen for fan operation inside freezer",Don't overload refrigerator which blocks airflow,true
Troubleshoot Car AC Not Working,Fix automotive air conditioning system,Automotive,intermediate,25 minutes,medium,none,refrigerant,car air conditioning AC cooling freon,"Check AC settings | Verify controls are set to maximum cool;Inspect AC fuse | Check fuse box for blown AC fuse;Check refrigerant level | Look for low refrigerant signs;Test AC clutch | Observe compressor clutch engagement;Check for leaks | Look for oily spots indicating refrigerant leaks",AC refrigerant requires professional handling,true
Fix Oven Not Heating Properly,Troubleshoot oven temperature and heating issues,Appliances,intermediate,30 minutes,medium,oven thermometer,none,oven heating temperature baking cooking,"Check oven settings | Verify correct temperature and function settings;Test with thermometer | Use oven thermometer to check actual temperature;Inspect heating elements | Look for broken or damaged elements;Check door seal | Ensure door gasket seals properly;Calibrate oven | Adjust temperature calibration if available",Let oven cool completely before inspection,true
Clear Clogged Bathtub Drain,Remove hair and soap buildup from tub drain,Plumbing,beginner,25 minutes,medium,pliers screwdriver,drain snake baking soda,bathtub drain clog hair blockage soap,"Remove drain cover | Unscrew or lift tub drain cover;Pull visible debris | Use pliers to remove hair and buildup;Use drain snake | Insert snake and twist to catch clogs;Apply baking soda | Pour baking soda followed by hot water;Use chemical drain cleaner | Follow product instructions carefully",Wear gloves and ensure bathroom is well ventilated,true
Fix Washing Machine Won't Spin,Resolve washing machine spin cycle problems,Appliances,intermediate,30 minutes,medium,none,none,washing machine spin cycle clothes wet,"Check load distribution | Redistribute clothes evenly in drum;Inspect door latch | Ensure door closes and latches properly;Check drive belt | Look for broken or slipped belt;Test lid switch | Verify lid switch engages properly;Check motor coupling | Inspect coupling between motor and transmission",Disconnect power before accessing internal components,true
